page,block_type,character,text,explicit_tone,scene,embedding_index
26,DIALOGUE,RAJU,g¡k Qjgku cksyA,,INT. RAJU’S NEW HOUSE,34
26,DIALOGUE,FARHAN,rw tYnh ckgj vkA eSa ik¡p feuV esa rsjs ;g¡k,,INT. RAJU’S NEW HOUSE,35
26,DIALOGUE,FARHAN,igq¡p jgk gw¡A,,INT. RAJU’S NEW HOUSE,36
26,DIALOGUE,FARHAN,minutes.,,INT. RAJU’S NEW HOUSE,37
27,DIALOGUE,FARHAN,jktw,,INT. RAJU’S NEW HOUSE,38
27,DIALOGUE,FARHAN,prqj dk Qksu FkkA fjesEcj fge\,,INT. RAJU’S NEW HOUSE,39
27,DIALOGUE,FARHAN,jktw,,INT. RAJU’S NEW HOUSE,40
27,DIALOGUE,RAJU,dkSu lkbysUlj\,,INT. RAJU’S NEW HOUSE,41
27,DIALOGUE,FARHAN,gk¡ oksgh oksghA cksy jgk gS fd jSUpks vk,,INT. RAJU’S NEW HOUSE,42
27,DIALOGUE,FARHAN,jgk gSA,,INT. RAJU’S NEW HOUSE,43
27,DIALOGUE,FARHAN,"the balcony, outside the room, his wife,",,INT. RAJU’S NEW HOUSE,44
27,DIALOGUE,FARHAN,jktw,,INT. RAJU’S NEW HOUSE,45
27,DIALOGUE,FARHAN,gk¡] cksyk fd vxj jSUpks ls feyuk gS rks Bhd,,INT. RAJU’S NEW HOUSE,46
27,DIALOGUE,FARHAN,vkB cts dSEil vk tk] Vadh isA,,INT. RAJU’S NEW HOUSE,47
27,DIALOGUE,FARHAN,to the campus at On the tank.,,INT. RAJU’S NEW HOUSE,48
27,DIALOGUE,FARHAN,vjs rw tYnh ckgj vk uk ;kjA,,INT. RAJU’S NEW HOUSE,49
27,DIALOGUE,FARHAN,jktw,,INT. RAJU’S NEW HOUSE,50
27,DIALOGUE,RAJU,gk¡ Bhd Bhd gS] vksdsA,,INT. RAJU’S NEW HOUSE,51
27,DIALOGUE,RAJU,toothpaste and rushes back into the room.,,INT. RAJU’S NEW HOUSE,52
27,DIALOGUE,RAJU,throws on a kurta.,,INT. RAJU’S NEW HOUSE,53
28,DIALOGUE,RAJU,jktw,,INT. RAJU’S NEW HOUSE,54
28,DIALOGUE,RAJU,lwuh eSa FkksM+h nsj esa vk jgk gw¡A vjs twrsA,,INT. RAJU’S NEW HOUSE,55
28,DIALOGUE,RAJU,jktw,,INT. RAJU’S NEW HOUSE,56
28,DIALOGUE,RAJU,vjs viuk nksLr fey x;kA,,INT. RAJU’S NEW HOUSE,57
28,DIALOGUE,RAJU,"her eyes, without breaking her breathing",,INT. RAJU’S NEW HOUSE,58
28,DIALOGUE,RAJU,pattern.,,INT. RAJU’S NEW HOUSE,59
28,DIALOGUE,RAJU,jktw,,INT. RAJU’S NEW HOUSE,60
28,DIALOGUE,RAJU,speaking.,,INT. RAJU’S NEW HOUSE,61
28,DIALOGUE,RAJU,jktw,,INT. RAJU’S NEW HOUSE,62
28,DIALOGUE,RAJU,;kj eSa vkds ckr djrk gw¡A ckW;A,,INT. RAJU’S NEW HOUSE,63
28,DIALOGUE,RAJU,and yells out to him.,,INT. RAJU’S NEW HOUSE,64
28,DIALOGUE,RAJU,lwuh,,INT. RAJU’S NEW HOUSE,65
28,DIALOGUE,SOONI,vjs iSUV rks igu ds tkvksA,,INT. RAJU’S NEW HOUSE,66
28,DIALOGUE,CONTINUOUS,"bottle, toothbrush, and toothpaste in hand.",,EXT. RAJU’S NEW HOUSE,67
28,DIALOGUE,CONTINUOUS,cab screeches to a halt in front of him,,EXT. RAJU’S NEW HOUSE,68
28,DIALOGUE,CONTINUOUS,and he gets in. They take off.,,EXT. RAJU’S NEW HOUSE,69
28,DIALOGUE,DRIVER,vc rks gksVy tk;saxs uk lj\,,EXT. RAJU’S NEW HOUSE,70
29,DIALOGUE,FARHAN,vjs gksVy tk;saxs dkds] ysfdu bEihfj;y dkWyst,,EXT. RAJU’S NEW HOUSE,71
29,DIALOGUE,FARHAN,vkWQ baftfu;fjax gks dsA,,EXT. RAJU’S NEW HOUSE,72
29,DIALOGUE,DRIVER,vksds ljA,with resignation,EXT. RAJU’S NEW HOUSE,73
29,DIALOGUE,DRIVER,them.,,EXT. RAJU’S NEW HOUSE,74
29,DIALOGUE,DRIVER,jktw,,EXT. RAJU’S NEW HOUSE,75
29,DIALOGUE,RAJU,;kj] lkSDl ysuk Hkwy x;k gw¡!,disappointed,EXT. RAJU’S NEW HOUSE,76
29,DIALOGUE,FARHAN,rw lkSDl dh ckr dj jgk gS] vcs uhps ns[k,amused,EXT. RAJU’S NEW HOUSE,77
29,DIALOGUE,FARHAN,iSUV Hkh Hkwy x;k gSA,,EXT. RAJU’S NEW HOUSE,78
29,DIALOGUE,FARHAN,legs.,,EXT. RAJU’S NEW HOUSE,79
29,DIALOGUE,FARHAN,jktw,,EXT. RAJU’S NEW HOUSE,80
29,DIALOGUE,RAJU,vks; rsjh!,,EXT. RAJU’S NEW HOUSE,81
29,DIALOGUE,LATER,to a halt in front of a building. Raju,,EXT. IMPERIAL COLLEGE OF,82
29,DIALOGUE,LATER,"runs out, brushing his teeth. Farhan",,EXT. IMPERIAL COLLEGE OF,83
29,DIALOGUE,LATER,"follows, calling out instructions to the",,EXT. IMPERIAL COLLEGE OF,84
29,DIALOGUE,LATER,driver.,,EXT. IMPERIAL COLLEGE OF,85
30,DIALOGUE,FARHAN,gks dj tkukA es js HkkbZ lkgc vk jgs gS a A mudks,,EXT. IMPERIAL COLLEGE OF,86
30,DIALOGUE,FARHAN,gks Vy igw pk ns ukA ls e ljus e ;kj f<Yyks a A,,EXT. IMPERIAL COLLEGE OF,87
30,DIALOGUE,HARBHAJAN SINGH DHILLON,eSa f<YyksaA xM~Mh Hksth rks xbZ fdFFkss\,angrily,EXT. AIRPORT DAY,88
30,DIALOGUE,HARBHAJAN SINGH DHILLON,the runway?,,EXT. AIRPORT DAY,89
30,DIALOGUE,HARBHAJAN SINGH DHILLON,juos iS\,,EXT. AIRPORT DAY,90
30,DIALOGUE,FARHAN,vks;s jSUpksA,,"EXT. WATER TANK, ICE DAY",91
30,DIALOGUE,FARHAN,jktw,,"EXT. WATER TANK, ICE DAY",92
30,DIALOGUE,RAJU,gs prqj] jSUpks dgk¡ gS\,,"EXT. WATER TANK, ICE DAY",93
30,DIALOGUE,RAJU,jSUpks!,looking around,"EXT. WATER TANK, ICE DAY",94
30,DIALOGUE,RAJU,to Chatur.,,"EXT. WATER TANK, ICE DAY",95
30,DIALOGUE,FARHAN,jSUpks dgk¡ gS\,,"EXT. WATER TANK, ICE DAY",96
31,DIALOGUE,FARHAN,phone. The electronic English to Hindi,,"EXT. WATER TANK, ICE DAY",97
31,DIALOGUE,FARHAN,dictionary shows the translation 'LIQUOR,,"EXT. WATER TANK, ICE DAY",98
31,DIALOGUE,CHATUR,prqj,calmly,"EXT. WATER TANK, ICE DAY",99
31,DIALOGUE,CHATUR,efnjk fi;ksxs\,,"EXT. WATER TANK, ICE DAY",100
31,DIALOGUE,CHATUR,you guzzled those days. (takes out a bottle from his jacket pocket),,"EXT. WATER TANK, ICE DAY",101
31,DIALOGUE,CHATUR,;s ogh je gS u tks rq e yks x ;gk¡ ihrs Fks,,"EXT. WATER TANK, ICE DAY",102
31,DIALOGUE,CHATUR,catches it.,,"EXT. WATER TANK, ICE DAY",103
31,DIALOGUE,CHATUR,jktw,,"EXT. WATER TANK, ICE DAY",104
31,DIALOGUE,RAJU,vjs jSUpks dgk¡ gS ;kj\,,"EXT. WATER TANK, ICE DAY",105
31,DIALOGUE,RAJU,prqj,,"EXT. WATER TANK, ICE DAY",106
31,DIALOGUE,CHATUR,crkrk gw¡A igys ;s ns[kksA,,"EXT. WATER TANK, ICE DAY",107
31,DIALOGUE,CHATUR,wife in front of a mansion.,,"EXT. WATER TANK, ICE DAY",108
31,DIALOGUE,CHATUR,prqj,,"EXT. WATER TANK, ICE DAY",109
31,DIALOGUE,CHATUR,esjk okbQ dks ugha] mlds ihNs dk cxayk,,"EXT. WATER TANK, ICE DAY",110
31,DIALOGUE,CHATUR,ns[kks] bfM;V~l fefy;uA,,"EXT. WATER TANK, ICE DAY",111
31,DIALOGUE,CHATUR,"behind, idiots, million.",,"EXT. WATER TANK, ICE DAY",112
32,DIALOGUE,CHATUR,"it, he keeps up a running commentary.",,"EXT. WATER TANK, ICE DAY",113
32,DIALOGUE,CHATUR,maple wood fl ooring.,,"EXT. WATER TANK, ICE DAY",114
32,DIALOGUE,CHATUR,fast!,,"EXT. WATER TANK, ICE DAY",115
32,DIALOGUE,FARHAN,vcs ges D;ksa fn[kk jgk gS ;s lc\,,"EXT. WATER TANK, ICE DAY",116
32,DIALOGUE,FARHAN,prqj,,"EXT. WATER TANK, ICE DAY",117
32,DIALOGUE,CHATUR,again. A date appears on screen: 5th,,"EXT. WATER TANK, ICE DAY",118
32,DIALOGUE,CHATUR,prqj,,"EXT. WATER TANK, ICE DAY",119
32,DIALOGUE,CHATUR,;g D;k gS\,,"EXT. WATER TANK, ICE DAY",120
32,DIALOGUE,CHATUR,jktw,,"EXT. WATER TANK, ICE DAY",121
32,DIALOGUE,RAJU,‘5th September’. Today’s date. What (looks at the phone),,"EXT. WATER TANK, ICE DAY",122
32,DIALOGUE,RAJU,ik¡ p flRecjA vkt dh Ms VA vkS j D;k ;kj\,,"EXT. WATER TANK, ICE DAY",123
32,DIALOGUE,RAJU,else?,,"EXT. WATER TANK, ICE DAY",124
32,DIALOGUE,RAJU,up to the dome-like structure in the centre,,"EXT. WATER TANK, ICE DAY",125
32,DIALOGUE,RAJU,of the terrace. He wipes the fungus off,,"EXT. WATER TANK, ICE DAY",126
32,DIALOGUE,RAJU,"a portion of the wall, to reveal a date",,"EXT. WATER TANK, ICE DAY",127
32,DIALOGUE,RAJU,chiselled into it SEPT Farhan and,,"EXT. WATER TANK, ICE DAY",128
33,DIALOGUE,FLASH:,stands next to the same wall and yells.,,"EXT. WATER TANK, ICE DAY",129
33,DIALOGUE,FLASH:,prqj,,"EXT. WATER TANK, ICE DAY",130
33,DIALOGUE,CHATUR,py yxk cSVA nl lky ds ckn okil,,"EXT. WATER TANK, ICE DAY",131
33,DIALOGUE,CHATUR,"vk,axsA ;gha isA vkt gh ds fnuA ns[ksaxs]",,"EXT. WATER TANK, ICE DAY",132
33,DIALOGUE,CHATUR,years. Same day. Same place. We’ll see who’s,,"EXT. WATER TANK, ICE DAY",133
33,DIALOGUE,CHATUR,dkSu T;knk lDlsLQy gSA gS fgEer\ cksy\,,"EXT. WATER TANK, ICE DAY",134
33,DIALOGUE,CHATUR,"more successful. Have the balls? C’mon,",,"EXT. WATER TANK, ICE DAY",135
33,DIALOGUE,CHATUR,"vk,xk\ vk,xk\",,"EXT. WATER TANK, ICE DAY",136
33,DIALOGUE,CHATUR,bet!,,"EXT. WATER TANK, ICE DAY",137
33,DIALOGUE,END OF FLASH,prqj,,"EXT. WATER TANK, ICE DAY",138
33,DIALOGUE,CHATUR,dqN ;kn vk;k\ ;gha is ml bfM;V~ ls 'krZ,,"EXT. WATER TANK, ICE DAY",139
33,DIALOGUE,CHATUR,"yxkbZ FkhA vkbZ dsIV ekbZ izksfelA vkbZ ,e",,"EXT. WATER TANK, ICE DAY",140
33,DIALOGUE,CHATUR,here. I kept my promise. I’m back.,,"EXT. WATER TANK, ICE DAY",141
33,DIALOGUE,CHATUR,cSdA,,"EXT. WATER TANK, ICE DAY",142
33,DIALOGUE,CHATUR,the bottle he is holding at Chatur. It,,"EXT. WATER TANK, ICE DAY",143
33,DIALOGUE,CHATUR,shatters at Chatur’s feet. He moves,,"EXT. WATER TANK, ICE DAY",144
33,DIALOGUE,CHATUR,threateningly towards Chatur but Raju,,"EXT. WATER TANK, ICE DAY",145
33,DIALOGUE,CHATUR,holds him back.,,"EXT. WATER TANK, ICE DAY",146
33,DIALOGUE,FARHAN,lkys] eSa gokbZ tgkt+ NksM+ ds vk;k gw¡A ;s,,"EXT. WATER TANK, ICE DAY",147
33,DIALOGUE,FARHAN,viuh iSUV NksM+ ds vk;k gSA flQZ jSUpks ls,,"EXT. WATER TANK, ICE DAY",148
33,DIALOGUE,FARHAN,pants all to meet Rancho. Five years,,"EXT. WATER TANK, ICE DAY",149
33,DIALOGUE,FARHAN,"feyus ds fy,A ik¡p lky ls ge mldks <¡w<",,"EXT. WATER TANK, ICE DAY",150
33,DIALOGUE,FARHAN,we’ve searched. Don’t even know if he’s,,"EXT. WATER TANK, ICE DAY",151
33,DIALOGUE,FARHAN,jgs gSaA ftUnk gSa fd ej x;k] ugha irkA vkSj,,"EXT. WATER TANK, ICE DAY",152
33,DIALOGUE,FARHAN,alive. And you think he’ll show up for,,"EXT. WATER TANK, ICE DAY",153
33,DIALOGUE,FARHAN,rq>s D;k yxrk gS] rsjh ;g Qwn~nw lh 'krZ ds,,"EXT. WATER TANK, ICE DAY",154
33,DIALOGUE,FARHAN,your silly bet.,,"EXT. WATER TANK, ICE DAY",155
33,DIALOGUE,FARHAN,"fy, ;gk¡ vk,xk\",,"EXT. WATER TANK, ICE DAY",156
33,DIALOGUE,FARHAN,prqj,,"EXT. WATER TANK, ICE DAY",157
33,DIALOGUE,CHATUR,"ugha vk,xkA eq>s ekywe gS oks ugha vk,xkA",,"EXT. WATER TANK, ICE DAY",158
34,DIALOGUE,FARHAN,;kj rw blds nkar rksM+rk gS ;k eS rksMa+w\,,"EXT. WATER TANK, ICE DAY",159
34,DIALOGUE,FARHAN,jktw,,"EXT. WATER TANK, ICE DAY",160
34,DIALOGUE,RAJU,",d feuV Qjgku] ,d feuVA vcs lkys rks",restraining Farhan,"EXT. WATER TANK, ICE DAY",161
34,DIALOGUE,RAJU,rwus ges D;ksa cqy;k\,,"EXT. WATER TANK, ICE DAY",162
34,DIALOGUE,RAJU,prqj,,"EXT. WATER TANK, ICE DAY",163
34,DIALOGUE,CHATUR,jSUpks ls feykusA py ds ns[kks oks dgk¡ jgs,,"EXT. WATER TANK, ICE DAY",164
34,DIALOGUE,CHATUR,x;s vksj eS dgk¡ igqap x;sA,,"EXT. WATER TANK, ICE DAY",165
34,DIALOGUE,CHATUR,and where he,,"EXT. WATER TANK, ICE DAY",166
34,DIALOGUE,CHATUR,jktw,,"EXT. WATER TANK, ICE DAY",167
34,DIALOGUE,RAJU,eryc rq>s ekywe gS jSUpks dgk¡ gS\,,"EXT. WATER TANK, ICE DAY",168
34,DIALOGUE,RAJU,prqj,,"EXT. WATER TANK, ICE DAY",169
34,DIALOGUE,CHATUR,;slA,,"EXT. WATER TANK, ICE DAY",170
34,DIALOGUE,FARHAN,dgk¡ gS jSUpks\,,"EXT. WATER TANK, ICE DAY",171
34,DIALOGUE,CHATUR,and happiness.,,"EXT. WATER TANK, ICE DAY",172
36,DIALOGUE,FARHAN,jSUpksA j.kNksM+nkl L;keynkl N¡kNM+A ftruk,,INT. SUV CONTINUOUS,173
36,DIALOGUE,FARHAN,vyx lkys dk uke Fkk mruh gh vyx lkspA,,INT. SUV CONTINUOUS,174
36,DIALOGUE,FARHAN,geus rks cpiu ls ;gh lquk Fkk fd ykbQ,,INT. SUV CONTINUOUS,175
36,DIALOGUE,FARHAN,",d jsl gS] rst+ ugha Hkkxksxs rks yksx rqEgs",,INT. SUV CONTINUOUS,176
36,DIALOGUE,FARHAN,"dqpy dj vkxs fudy tk,axsA",,INT. SUV CONTINUOUS,177
36,DIALOGUE,FARHAN,goes black.,,INT. SUV CONTINUOUS,178
36,DIALOGUE,MONTAGE,sperm races ahead and hits the ova.,,INT. SUV CONTINUOUS,179
36,DIALOGUE,FARHAN,"lkyk iSnk gksus ds fy, Hkh rhu lkS fefy;u",,INT. SUV CONTINUOUS,180
36,DIALOGUE,FARHAN,million sperms.,,INT. SUV CONTINUOUS,181
36,DIALOGUE,FARHAN,"delivering the baby, the gloved hand of a",,INT. SUV CONTINUOUS,182
36,DIALOGUE,FARHAN,doctor brings out a baby.,,INT. SUV CONTINUOUS,183
36,DIALOGUE,FARHAN,vkSj ikap ctdj lksyg feuV ij vCck us,,INT. SUV CONTINUOUS,184
36,DIALOGUE,FARHAN,dgk,,INT. SUV CONTINUOUS,185
36,DIALOGUE,FARHAN’S FATHER,esjk csVk baftfu;j cusxkA,,INT. SUV CONTINUOUS,186
37,DIALOGUE,FARHAN’S AUNTY,"card, with Farhan’s photograph on it, is",,INT. SUV CONTINUOUS,187
37,DIALOGUE,FARHAN’S AUNTY,stamped.,,INT. SUV CONTINUOUS,188
37,DIALOGUE,ENGINEERING DAY,"in another, a rucksack on his back and a",,EXT. IMPERIAL COLLEGE OF,189
37,DIALOGUE,ENGINEERING DAY,pillow tucked under his arm.,,EXT. IMPERIAL COLLEGE OF,190
37,DIALOGUE,CONTINUOUS,board. He moves his fi nger up the room,,"EXT. CORRIDOR, ICE",191
37,DIALOGUE,CONTINUOUS,list and stops on his name. Next to his,,"EXT. CORRIDOR, ICE",192
37,DIALOGUE,CONTINUOUS,name are the names of his room-mates.,,"EXT. CORRIDOR, ICE",193
37,DIALOGUE,FARHAN,jktw jLrksxh] j.kNksM+nkl Nk¡NM+A,,"EXT. CORRIDOR, ICE",194
37,DIALOGUE,"MANMOHAN, AKA MILLIMETER,","a street-smart year old, comes up",,"EXT. CORRIDOR, ICE",195
37,DIALOGUE,"MANMOHAN, AKA MILLIMETER,",behind him.,,"EXT. CORRIDOR, ICE",196
38,DIALOGUE,"MANMOHAN, AKA MILLIMETER,",feyhehVj,,"EXT. CORRIDOR, ICE",197
38,DIALOGUE,MILLIMETER,:e uEcj cksyksA,,"EXT. CORRIDOR, ICE",198
38,DIALOGUE,D-26.,to walk away.,,"EXT. CORRIDOR, ICE",199
38,DIALOGUE,D-26.,feyhehVj,,"EXT. CORRIDOR, ICE",200
38,DIALOGUE,MILLIMETER,pyksA,,"EXT. CORRIDOR, ICE",201
38,DIALOGUE,MILLIMETER,of the college as they walk.,,"EXT. CORRIDOR, ICE",202
38,DIALOGUE,MILLIMETER,feyhehVj,,"EXT. CORRIDOR, ICE",203
38,DIALOGUE,MILLIMETER,"eSa eu eksguA ,e ,eA ;s lc baftfu;lZ",,"EXT. CORRIDOR, ICE",204
38,DIALOGUE,MILLIMETER,eq>s feyhehVj cqykrs gSaA nw/k] vaMk&czSM] diM+s,,"EXT. CORRIDOR, ICE",205
38,DIALOGUE,MILLIMETER,"call me Millimeter. For eggs, bread,",,"EXT. CORRIDOR, ICE",206
38,DIALOGUE,MILLIMETER,/kksuk] bL=kh djuk] tjuy Hkjuk] vlkbUeUV,,"EXT. CORRIDOR, ICE",207
38,DIALOGUE,MILLIMETER,"milk, laundry, fi nishing journals, copying",,"EXT. CORRIDOR, ICE",208
38,DIALOGUE,MILLIMETER,dkWih djuk] dksbZ Hkh dke gS] cksyksA fQDLM,,"EXT. CORRIDOR, ICE",209
38,DIALOGUE,MILLIMETER,"assignments, I’m your guy. Fixed rates.",,"EXT. CORRIDOR, ICE",210
38,DIALOGUE,MILLIMETER,jsV gSA uks ckjxsuA,,"EXT. CORRIDOR, ICE",211
38,DIALOGUE,MILLIMETER,excited.,,"EXT. CORRIDOR, ICE",212
38,DIALOGUE,FARHAN,"vjs ,d feuV] ,d feuV ,d feuV",,"EXT. CORRIDOR, ICE",213
38,DIALOGUE,FARHAN,bldks idM+A,,"EXT. CORRIDOR, ICE",214
38,DIALOGUE,FARHAN,and clicks their photographs from different,,"EXT. CORRIDOR, ICE",215
38,DIALOGUE,FARHAN,angles.,,"EXT. CORRIDOR, ICE",216
38,DIALOGUE,FARHAN,feyhehVj,,"EXT. CORRIDOR, ICE",217
38,DIALOGUE,MILLIMETER,;s fdyksckbV gSA ;s esxkckbV vkSj ;s budh,,"EXT. CORRIDOR, ICE",218
38,DIALOGUE,MILLIMETER,ek¡] xhxkckbVA ys yks] QksVks ys yksA ;s QSEyh,,"EXT. CORRIDOR, ICE",219
38,DIALOGUE,MILLIMETER,ckbV ugha djrhA,,"EXT. CORRIDOR, ICE",220
38,DIALOGUE,MILLIMETER,doesn’t bite.,,"EXT. CORRIDOR, ICE",221
39,DIALOGUE,MILLIMETER,cover the screen.,,"EXT. CORRIDOR, ICE",222
39,DIALOGUE,CONTINUOUS,"enter the room. Glancing at them briefl y,",,"INT. ROOM, HOSTEL, ICE",223
39,DIALOGUE,CONTINUOUS,of a wall covered with pictures of different,,"INT. ROOM, HOSTEL, ICE",224
39,DIALOGUE,CONTINUOUS,gods and goddesses.,,"INT. ROOM, HOSTEL, ICE",225
39,DIALOGUE,CONTINUOUS,feyhehVj,,"INT. ROOM, HOSTEL, ICE",226
39,DIALOGUE,MILLIMETER,"yks vk x;k ,d vkSj HkDrA",,"INT. ROOM, HOSTEL, ICE",227
39,DIALOGUE,MILLIMETER,soul.,,"INT. ROOM, HOSTEL, ICE",228
39,DIALOGUE,MILLIMETER,then extends his hand to Raju.,,"INT. ROOM, HOSTEL, ICE",229
39,DIALOGUE,FARHAN,"gk,A Qjgku dqjS'khA",,"INT. ROOM, HOSTEL, ICE",230
39,DIALOGUE,FARHAN,jktw,,"INT. ROOM, HOSTEL, ICE",231
39,DIALOGUE,RAJU,eS jktw jLrksxhA,ignoring the proffered hand,"INT. ROOM, HOSTEL, ICE",232
39,DIALOGUE,RAJU,corner. He looks at Farhan. Raju starts to,,"INT. ROOM, HOSTEL, ICE",233
39,DIALOGUE,RAJU,move around the room with a ‘puja thali’,,"INT. ROOM, HOSTEL, ICE",234
39,DIALOGUE,RAJU,with burning incense on it. With the turn,,"INT. ROOM, HOSTEL, ICE",235
39,DIALOGUE,RAJU,"of his hand, he shoves the fumes from the",,"INT. ROOM, HOSTEL, ICE",236
39,DIALOGUE,RAJU,incense in every corner of the room.,,"INT. ROOM, HOSTEL, ICE",237
39,DIALOGUE,RAJU,feyhehVj,,"INT. ROOM, HOSTEL, ICE",238
39,DIALOGUE,MILLIMETER,?kcjkvks erA FkksM+s fnu b/kj jgssxk uk rks vius,,"INT. ROOM, HOSTEL, ICE",239
39,DIALOGUE,MILLIMETER,"vki Hkxoku ls fo'okl mB tk,xk fQj",,"INT. ROOM, HOSTEL, ICE",240
39,DIALOGUE,MILLIMETER,faith in God. Then naked babes will be on,,"INT. ROOM, HOSTEL, ICE",241
39,DIALOGUE,MILLIMETER,"cktw eS uaxh yM+dh dh rLohj yxk,xk vkSj",,"INT. ROOM, HOSTEL, ICE",242
39,DIALOGUE,MILLIMETER,"the wall, and he’ll say “Oh God, give me",,"INT. ROOM, HOSTEL, ICE",243
39,DIALOGUE,MILLIMETER,"dgsxk vks Hkxoku] ,d ckj fnyk nsA",,"INT. ROOM, HOSTEL, ICE",244
39,DIALOGUE,MILLIMETER,one chance with her”.,,"INT. ROOM, HOSTEL, ICE",245
40,DIALOGUE,MILLIMETER,jktw,,"INT. ROOM, HOSTEL, ICE",246
40,DIALOGUE,RAJU,;s] py fudy ;gk¡ lsA fudyA,irritated at Millimeter’s irreverence,"INT. ROOM, HOSTEL, ICE",247
40,DIALOGUE,RAJU,feyhehVj,,"INT. ROOM, HOSTEL, ICE",248
40,DIALOGUE,MILLIMETER,pkj #i;s nksA nks #i;k ij cSxA,,"INT. ROOM, HOSTEL, ICE",249
40,DIALOGUE,FARHAN,;s ysA ik¡p #i;sA psat j[k ysA,,"INT. ROOM, HOSTEL, ICE",250
40,DIALOGUE,FARHAN,feyhehVj,,"INT. ROOM, HOSTEL, ICE",251
40,DIALOGUE,MILLIMETER,"vkiwu Hkh rqedks ,d fVi nsxkA vkt jkr",,"INT. ROOM, HOSTEL, ICE",252
40,DIALOGUE,MILLIMETER,in return wear your best underwear,,"INT. ROOM, HOSTEL, ICE",253
40,DIALOGUE,MILLIMETER,dks vaMfoZ;j fcuk gksy okys igukA,,"INT. ROOM, HOSTEL, ICE",254
40,DIALOGUE,MILLIMETER,tonight.,,"INT. ROOM, HOSTEL, ICE",255
40,DIALOGUE,MILLIMETER,wonders.,,"INT. ROOM, HOSTEL, ICE",256
40,DIALOGUE,MILLIMETER,jktw,,"INT. ROOM, HOSTEL, ICE",257
40,DIALOGUE,NIGHT,"freshmen, standing in a row, take off their",,"EXT. CORRIDOR, HOSTEL, ICE",258
